genero_da_vitima,grupo_vulneravel,faixa_etaria_da_vitima,violacao,count
FEMININO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,12 A 14 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
MASCULINO,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA PESSOA IDOSA,60 A 64 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+,16 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+,17 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA PESSOA IDOSA,60 A 64 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,35 A 39 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
FEMININO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,18 A 19 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,16 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - INTERNACIONAL,1
FEMININO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,15 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
MASCULINO,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",35 A 39 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
MASCULINO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,05 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
MASCULINO,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",35 A 39 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
MASCULINO,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
MASCULINO,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - INTERNACIONAL,1
MASCULINO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,MENOS DE 01 ANO,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
MASCULINO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,50 A 54 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
MASCULINO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,12 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
MASCULINO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,06 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
MASCULINO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,15 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
MASCULINO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,15 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - INTERNACIONAL,1
MASCULINO,VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+,20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
MASCULINO,VIOLÊNCIA CONTRA POPULAÇÃO LGBTQIA+,25 A 29 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
NÃO INFORMADO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,CRIANÇA/ADOLESCENTE IDADE NÃO INFORMADA,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE CRIANÇAS - NACIONAL,1
NÃO INFORMADO,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,02 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
NÃO INFORMADO,VIOLÊNCIA CONTRA PESSOA COM DEFICIÊNCIA,02 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
NÃO SE APLICA - VÍTIMA COMUNIDADE/FAMÍLIA,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",20 A 24 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE MULHERES - NACIONAL,1
NÃO SE APLICA - VÍTIMA COMUNIDADE/FAMÍLIA,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",CRIANÇA/ADOLESCENTE IDADE NÃO INFORMADA,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
NÃO SE APLICA - VÍTIMA COMUNIDADE/FAMÍLIA,"VIOLÊNCIA CONTRA CIDADÃO, FAMÍLIA OU COMUNIDADE",30 A 34 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
NÃO SE APLICA - VÍTIMA COMUNIDADE/FAMÍLIA,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,CRIANÇA/ADOLESCENTE IDADE NÃO INFORMADA,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - INTERNACIONAL,1
NÃO SE APLICA - VÍTIMA COMUNIDADE/FAMÍLIA,VIOLÊNCIA CONTRA CRIANÇA OU ADOLESCENTE,15 ANOS,LIBERDADE>DIREITOS INDIVIDUAIS>TRÁFICO DE PESSOAS - NACIONAL,1
